,Genus,Type,Site,relative_abundance
6,g__Acidiella,Soil,BGM_1,0.025373197
7,g__Acidiella,Soil,BGM_2,0.377950948
8,g__Acidiella,Soil,BGM_3,0.850315802
9,g__Acidiella,Soil,BGM_4,0.007610865
10,g__Acidiella,Soil,BGM_F,0
1,g__Acidiella,Root,BGM_1,0
2,g__Acidiella,Root,BGM_2,0.101779342
3,g__Acidiella,Root,BGM_3,0.062710038
4,g__Acidiella,Root,BGM_4,0
5,g__Acidiella,Root,BGM_F,0
16,g__Amanita,Soil,BGM_1,1.45214568
17,g__Amanita,Soil,BGM_2,3.779919409
18,g__Amanita,Soil,BGM_3,0.001022014
19,g__Amanita,Soil,BGM_4,0.000634239
20,g__Amanita,Soil,BGM_F,0.81636284
186,g__Amanita,Soil,HKM_1,5.012370416
187,g__Amanita,Soil,HKM_2,0.635125808
188,g__Amanita,Soil,HKM_3,6.764413558
189,g__Amanita,Soil,HKM_4,1.874509745
190,g__Amanita,Soil,HKM_F,0.000752802
11,g__Amanita,Root,BGM_1,0.019911805
12,g__Amanita,Root,BGM_2,0.212539215
13,g__Amanita,Root,BGM_3,0
14,g__Amanita,Root,BGM_4,0
15,g__Amanita,Root,BGM_F,0.048969598
181,g__Amanita,Root,HKM_1,0.434213247
182,g__Amanita,Root,HKM_2,0.033782311
183,g__Amanita,Root,HKM_3,6.941311488
184,g__Amanita,Root,HKM_4,0.129686988
185,g__Amanita,Root,HKM_F,0.003072905
26,g__Amphinema,Soil,BGM_1,4.915822068
27,g__Amphinema,Soil,BGM_2,0
28,g__Amphinema,Soil,BGM_3,0
29,g__Amphinema,Soil,BGM_4,0.008033691
30,g__Amphinema,Soil,BGM_F,0.000684294
196,g__Amphinema,Soil,HKM_1,0
197,g__Amphinema,Soil,HKM_2,0.000598423
198,g__Amphinema,Soil,HKM_3,0.755992769
199,g__Amphinema,Soil,HKM_4,0
200,g__Amphinema,Soil,HKM_F,0.000564602
21,g__Amphinema,Root,BGM_1,3.520989957
22,g__Amphinema,Root,BGM_2,0
23,g__Amphinema,Root,BGM_3,0
24,g__Amphinema,Root,BGM_4,0.011099874
25,g__Amphinema,Root,BGM_F,0
191,g__Amphinema,Root,HKM_1,0
192,g__Amphinema,Root,HKM_2,0
193,g__Amphinema,Root,HKM_3,0
194,g__Amphinema,Root,HKM_4,0
195,g__Amphinema,Root,HKM_F,0
206,g__Archaeorhizomyces,Soil,HKM_1,0.430942033
207,g__Archaeorhizomyces,Soil,HKM_2,1.674146949
208,g__Archaeorhizomyces,Soil,HKM_3,0.259784472
209,g__Archaeorhizomyces,Soil,HKM_4,1.360179783
210,g__Archaeorhizomyces,Soil,HKM_F,0.001693805
594,g__Archaeorhizomyces,Soil,RGM_Pit,2.460490567
595,g__Archaeorhizomyces,Soil,RGM_Process,0.069132699
201,g__Archaeorhizomyces,Root,HKM_1,0.000689227
202,g__Archaeorhizomyces,Root,HKM_2,0.273963646
203,g__Archaeorhizomyces,Root,HKM_3,0.239028058
204,g__Archaeorhizomyces,Root,HKM_4,0.001510916
205,g__Archaeorhizomyces,Root,HKM_F,0
592,g__Archaeorhizomyces,Root,RGM_Pit,0.768184488
593,g__Archaeorhizomyces,Root,RGM_Process,0.001761618
511,g__Aspergillus,Soil,SH_F,0
512,g__Aspergillus,Soil,SH_M,2.109699032
513,g__Aspergillus,Soil,SH_P,0.002829495
36,g__Biscogniauxia,Soil,BGM_1,0
37,g__Biscogniauxia,Soil,BGM_2,0.050830713
38,g__Biscogniauxia,Soil,BGM_3,0.16352227
39,g__Biscogniauxia,Soil,BGM_4,0.672293069
40,g__Biscogniauxia,Soil,BGM_F,0
31,g__Biscogniauxia,Root,BGM_1,0
32,g__Biscogniauxia,Root,BGM_2,0.007184424
33,g__Biscogniauxia,Root,BGM_3,0.715537618
34,g__Biscogniauxia,Root,BGM_4,1.09025431
35,g__Biscogniauxia,Root,BGM_F,0
46,g__Boletus,Soil,BGM_1,0.000939748
47,g__Boletus,Soil,BGM_2,0.031154308
48,g__Boletus,Soil,BGM_3,0.054166752
49,g__Boletus,Soil,BGM_4,2.28833339
50,g__Boletus,Soil,BGM_F,0.004105764
216,g__Boletus,Soil,HKM_1,0
217,g__Boletus,Soil,HKM_2,0.000598423
218,g__Boletus,Soil,HKM_3,0
219,g__Boletus,Soil,HKM_4,0
