"","Taxa","OTU","BGM_1_Root","BGM_1_Soil","BGM_2_Root","BGM_2_Soil","BGM_3_Root","BGM_3_Soil","BGM_4_Root","BGM_4_Soil","BGM_F_Root","BGM_F_Soil","HKM_1_Root","HKM_1_Soil","HKM_2_Root","HKM_2_Soil","HKM_3_Root","HKM_3_Soil","HKM_4_Root","HKM_4_Soil","HKM_F_Root","HKM_F_Soil","SH_F_Soil","SH_M_Soil","SH_P_Soil","RGM_Pit_Root","RGM_Pit_Soil","RGM_Process_Root","RGM_Process_Soil"
"1","c__Agaricomycetes;f__Pisolithaceae;g__Pisolithus","OTU_137","0","0.01","0.03","0.16","31.05","5.37","12.88","0.33","0","0","","","","","","","","","","","","","","","","",""
"2","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1417","0.05","0.1","0.02","0.01","44.18","1.09","0.14","0.04","0","0.1","","","","","","","","","","","","","","","","",""
"3","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1361","0.01","0.01","0","0.02","0","0.06","27.38","0.01","0","0.01","","","","","","","","","","","","","","","","",""
"4","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1416","5.05","2.74","2.69","1.88","3.68","2.66","3.09","2.16","0.28","0.41","","","","","","","","","","","","","","","","",""
"5","c__Agaricomycetes;f__unidentified;g__unidentified","OTU_39","13.39","4.13","0","0","0","0","0","0","0","0","0","0","0.01","4.61","0","0","0","0.01","0","0","","","","","","",""
"6","c__Agaricomycetes;f__Rhizopogonaceae;g__Rhizopogon","OTU_261","8.74","2.5","0","0.89","0.71","0.01","3.42","0.98","0","0","","","","","","","","","","","","","","","","",""
"7","c__Dothideomycetes;f__unidentified;g__unidentified","OTU_1404","16.25","0.06","0.16","0.01","0.06","0.2","0.02","0.02","0.02","0.07","","","","","","","","","","","","","","","","",""
"8","c__Agaricomycetes;f__Boletaceae;g__Boletus","OTU_128","0","0","0","0.03","0","0.05","13.18","2.29","0","0","","","","","","","","","","","","","","","","",""
"9","c__Dothideomycetes;f__unidentified;g__unidentified","OTU_1428","0.72","0.01","0.05","0.05","0.02","13.82","0.06","0.04","0.05","0.01","","","","","","","","","","","","","","","","",""
"10","c__Dothideomycetes;f__unidentified;g__unidentified","OTU_1442","0.02","0.07","0.49","0.05","0.01","0.01","0.14","13.79","0.07","0.11","","","","","","","","","","","","","","","","",""
"11","c__unidentified;f__unidentified;g__unidentified","OTU_59","1.47","0.28","5.36","2.61","0.03","0","1.71","3.05","0","0","","","","","","","","","","","0","2.14","0","","","",""
"12","c__Agaricomycetes;f__Thelephoraceae;g__unidentified","OTU_185","3.9","3.58","4.83","2.17","0","0","0","0.01","0","0","","","","","","","","","","","","","","","","",""
"13","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1450","0.01","0.17","0.01","0.01","0.01","1.21","2.02","9.85","0.02","0.01","","","","","","","","","","","","","","","","",""
"14","c__Dothideomycetes;f__unidentified;g__unidentified","OTU_1406","1.36","0.01","0","0.01","0","11.39","0.28","0.01","0","0.04","","","","","","","","","","","","","","","","",""
"15","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1435","0.05","0.58","0.01","0.2","0","0.05","0.15","10.2","0","0.01","","","","","","","","","","","","","","","","",""
"16","c__Dothideomycetes;f__unidentified;g__unidentified","OTU_1448","0.03","10.5","0.01","0.02","0.05","0.01","0.46","0.03","0.08","0.04","","","","","","","","","","","","","","","","",""
"17","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1371","0.04","0.01","0.01","0.01","0","10.89","0.09","0.01","0","0.01","","","","","","","","","","","","","","","","",""
"18","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1427","0.1","0.08","0.02","0.02","0.04","10.1","0.03","0.05","0.12","0.05","","","","","","","","","","","","","","","","",""
"19","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1213","0.76","1","0.55","6.58","0.34","0.55","0.25","0.32","0.04","0.11","","","","","","","","","","","","","","","","",""
"20","c__Dothideomycetes;f__unidentified;g__unidentified","OTU_1429","0.01","0.04","0.1","0.02","0","0.04","0","10.05","0.03","0.01","","","","","","","","","","","","","","","","",""
"21","c__Dothideomycetes;f__unidentified;g__unidentified","OTU_1459","0","9.12","0.01","0.04","0","0.02","0","0","0","0.02","","","","","","","","","","","","","","","","",""
"22","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1426","0.23","0.04","0.03","7.83","0.01","0.12","0.05","0.13","0","0.37","","","","","","","","","","","","","","","","",""
"23","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1382","0.26","0.03","0.01","0.03","0.11","0.04","0.77","6.79","0.59","0.03","","","","","","","","","","","","","","","","",""
"24","c__Dothideomycetes;f__unidentified;g__unidentified","OTU_1390","0.03","0.02","0.09","7.2","0.09","0.13","0.05","0.03","0.12","0.08","","","","","","","","","","","","","","","","",""
"25","c__Dothideomycetes;f__Leptosphaeriaceae;g__Leptosphaeria","OTU_1405","0.01","0.12","0.05","6.37","0.01","0.11","0.03","0.05","0","0.04","","","","","","","","","","","","","","","","",""
"26","c__Agaricomycetes;f__Amanitaceae;g__Amanita","OTU_35","","","","","","","","","","","1.3","15.04","0","0.07","20.66","17.72","0.39","5.62","0.01","0","","","","","","",""
"27","c__Leotiomycetes;f__Helotiaceae;g__Meliniomyces","OTU_28","","","","","","","","","","","18.91","4.42","5.4","1.58","9.13","3.16","5.51","2.08","5.89","1.4","","","","","","",""
"28","c__Leotiomycetes;f__Hyaloscyphaceae;g__unidentified","OTU_76","","","","","","","","","","","16.82","2.2","1.24","0.24","1.89","1.31","10.27","0.2","5.52","2.45","","","","","","",""
"29","c__Dothideomycetes;f__Gloniaceae;g__Cenococcum","OTU_26","","","","","","","","","","","0.21","0.83","0.03","0.57","31.41","2.93","1.08","1.36","0.32","0.13","","","","","","",""
"30","c__unidentified;f__unidentified;g__unidentified","OTU_58","","","","","","","","","","","24.56","1.3","0","0","0","0","4.2","0","0","0","","","","","","",""
"31","c__Agaricomycetes;f__unidentified;g__unidentified","OTU_63","","","","","","","","","","","9.58","10.21","0","0.01","0","0","4.65","0.04","0","0","","","","","","",""
