OTUId	SH54d.R1	BGM.PS2.1d.R1	BGM.PS3.3.R1	BGM.PS2.3d.R1	SH40.R1	SH17.R1	BGM.PS3.2d.R1	BGM.PS1.3d.R1	BGM.R4.2.R1	SH32.R1	BGM.PS2.2d.R1	BGM.PS4.3.R1	SH39.R1	SH30.R1	SH29.R1	BGM.R4.3.R1	BGM.PS2.1.R1	SH25.R1	BGM.PS3.2.R1	SH49.R1	SH49d.R1	BGM.PS4.2d.R1	BGM.PS1.2.R1	SH31.R1	SH54.R1	BGM.R2.3.R1	BGM.PSFd.R1	SH28.R1	BGM.PS1.1d.R1	BGM.PS1.3.R1	SH26.R1	BGM.PS2.2.R1	BGM.PSF.R1	BGM.RF.R1	SH51d.R1	BGM.R2.1.R1	BGM.R1.3.R1	SH47d.R1	BGM.PS4.3d.R1	BGM.R3.2.R1	SH37.R1	SH51.R1	BGM.R2.2.R1	SH47.R1	BGM.PS2.3.R1	SH53.R1	BGM.R3.3.R1	BGM.PS1.2d.R1	SH35.R1	SH33.R1	BGM.R4.1.R1	BGM.PS4.1.R1	BGM.PS4.2.R1	SH53d.R1	BGM.R1.2.R1	SH19.R1	SH23.R1	SH27.R1	SH20.R1	BGM.PS4.1d.R1	SH36.R1	SH34.R1	BGM.PS1.1.R1	BGM.PS3.3d.R1	SH21.R1	SH38.R1	SH22.R1	BGM.R1.1.R1	BGM.PS3.1d.R1	BGM.PS3.1.R1	SH18.R1	SH24.R1	SH46.R1	SH41.R1	SH52.R1	BGM.S.1.2.2.R1	RGM.S.Pit.1.2.R1	BGM.R.4.2.1.R1	HKM.S.4.3.1.R1	SH.BS.53.R1	BGM.S.1.2.3.R1	BGM.S.F.1.1.R1	BGM.S.2.1.2.R1	BGM.S.1.1.3.R1	HKM.S.2.2.2.R1	HKM.R.4.2.1.R1	SH.BS.39.R1	HKM.S.1.3.3.R1	BGM.S.1.3.3.R1	BGM.R.1.3.1.R1	HKM.S.4.1.3.R1	BGM.BR.S.3.R1	SH.BS.54d.R1	BGM.S.3.3.3.R1	SH.BS.40.R1	BGM.S.2.3.1.R1	HKM.S.4.1.1.R1	HKM.S.4.3.2.R1	BGM.S.4.3.2.R1	BGM.S.1.1.2.R1	SH.BS.53d.R1	SH.BS.47.R1	BGM.BR.S.2.R1	SH.BS.54.R1	BGM.BR.F.1.R1	NCTL.old2.R1	HKM.S.4.3.3.R1	BGM.S.3.3.1.R1	BGM.S.4.1.2.R1	HKM.S.4.2.3.R1	SH.BS.25.R1	NCLT6.R1	BGM.S.1.3.2.R1	SH.BS.51d.R1	HKM.S.1.2.2.R1	BGM.BR.F.3.R1	SH.BS.33.R1	BGM.S.2.2.2.R1	HKM.S.3.2.1.R1	HKM.S.2.1.2.R1	RGM.S.Proc.1.2.R1	BGM.S.4.1.3.R1	HKM.R.3.2.2.R1	BGM.S.4.3.3.R1	RGM.R.Proc.1.1.R1	HKM.R.3.2.1.R1	HKM.S.1.3.1.R1	HKM.S.4.1.2.R1	SH.BS.31.R1	SH.BS.35.R1	HKM.S.3.3.3.R1	SH.BS.49d.R1	HKM.S.1.2.3.R1	BGM.S.3.1.2.R1	RGM.R.Pit.1.1.R1	NCTL1.R1	BGM.BR.2.3.R1	HKM.S.4.2.1.R1	NCTL3.R1	HKM.S.4.2.2.R1	NCTL4.R1	BGM.R.2.3.1.R1	HKM.S.F.1.3.R1	SH.BS.51.R1	BGM.BR.3.2.R1	HKM.R.4.1.2.R1	BGM.S.F.1.6.R1	BGM.S.3.2.3.R1	HKM.S.2.2.1.R1	NCTL5.R1	BGM.S.2.3.2.R1	HKM.S.3.2.3.R1	HKM.S.F.1.2.R1	NCTL2.R1	HKM.S.F.1.4.R1	SH.BS.47d.R1	RGM.S.Proc.1.3.R1	HKM.S.2.3.2.R1	BGM.BR.4.1.R1	SH.BS.22.R1	BGM.S.3.1.3.R1	BGM.S.2.2.3.R1	HKM.R.F.1.1.R1	BGM.R.2.1.1.R1	BGM.R.2.2.1.R1	BGM.S.4.2.2.R1	RGM.S.Proc.1.1.R1	BGM.S.3.3.2.R1	BGM.R.1.2.1.R1	HKM.S.2.2.3.R1	HKM.S.3.1.2.R1	HKM.S.3.3.1.R1	BGM.S.4.1.1.R1	BGM.S.2.3.3.R1	BGM.S.F.1.9.R1	BGM.S.F.1.7.R1	RGM.R.Proc.1.2.R1	BGM.BR.S.1.R1	BGM.S.3.2.2.R1	BGM.S.4.2.1.R1	SH.BS.37.R1	BGM.S.F.1.2.R1	HKM.S.2.3.1.R1	BGM.BR.1.3.R1	BGM.S.1.2.1.R1	RGM.S.Pit.1.3.R1	HKM.S.1.3.2.R1	HKM.S.2.1.1.R1	HKM.S.1.1.3.R1	BGM.S.F.1.3.R1	HKM.R.F.1.2.R1	RGM.S.Pit.1.1.R1	HKM.S.F.1.8.R1	BGM.S.3.2.1.R1	BGM.BR.3.3.R1	HKM.S.F.1.9.R1	BGM.S.4.2.3.R1	BGM.S.2.1.3.R1	BGM.BR.F.2.R1	BGM.S.2.1.1.R1	SH.BS.28.R1	SH.BS.34.R1	SH.BS.27.R1	HKM.S.2.1.3.R1	BGM.S.4.3.1.R1	BGM.R.4.3.1.R1	SH.BS.49.R1	HKM.S.1.2.1.R1	BGM.S.2.2.1.R1	BGM.S.F.1.4.R1	HKM.S.F.1.5.R1	BGM.BR.1.2.R1	HKM.S.3.3.2.R1	BGM.BR.2.1.R1	BGM.S.F.1.5.R1	HKM.S.3.2.2.R1	HKM.S.F.1.7.R1	HKM.S.F.1.1.R1	HKM.S.F.1.6.R1	SH.BS.30.R1	BGM.BR.4.3.R1	BGM.R.F.1.1.R1	BGM.S.F.1.8.R1	HKM.S.1.1.1.R1	BGM.BR.2.2.R1	BGM.BR.3.1.R1	HKM.R.1.3.1.R1	HKM.S.3.1.3.R1	SH.BS.38.R1	RGM.R.Pit.1.2.R1	SH.BS.32.R1	SH.BS.19.R1	HKM.S.1.1.2.R1	SH.BS.36.R1	HKM.R.2.2.1.R1	SH.BS.29.R1	BGM.R.3.3.1.R1	SH.BS.20.R1	SH.BS.21.R1	HKM.R.2.1.1.R1	HKM.S.2.3.3.R1	SH.BS.17.R1	SH.BS.26.R1	SH.BS.23.R1	BGM.R.4.1.1.R1	HKM.S.3.1.1.R1	BGM.BR.1.1.R1	BGM.BR.4.2.R1	BGM.S.1.3.1.R1	HKM.R.1.2.1.R1	BGM.S.3.1.1.R1	SH.BS.18.R1	NCTL.old1.R1	BGM.R.3.2.1.R1	SH.BS.24.R1	BGM.S.1.1.1.R1	BGM.R.1.1.1.R1	SH.BS.52.R1	SH.BS.43.R1	SH.BS.42.R1	SH.BS.46.R1	SH.BS.44.R1	SH.BS.41.R1	SH.BS.45.R1	SH.BS.52d.R1	M12R.ITS.R1	M11D.ITS.R1	M9R.ITS.R1	M3D.ITS.R1	M1D.ITS.R1	M11R.ITS.R1	M12D.ITS.R1	M4D.ITS.R1	M2D.ITS.R1	M2R.ITS.R1	M10D.ITS.R1	M1R.ITS.R1	M5D.ITS.R1	M3R.ITS.R1	M7D.ITS.R1	M10R.ITS.R1	M9D.ITS.R1
OTU_1369	1484	0	0	7	2	0	1	1	4	1	1	8	0	0	0	1	0	0	1	1	0	4	3	0	3	0	0	0	0	0	0	0	0	0	3	3	0	3	11	0	0	0	1	1	3	3	0	5	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	4	22	43	0	2	0	1	0	30	5	0	6	0	0	2	1	14887	1	19	19	3	1	79	8	0	5	0	17	11	0	8	7	3	0	0	1	0	9	1	0	3	10	2	1	0	3	0	1	0	0	3	0	0	2	0	1	8	1	2	0	2	0	0	0	24	0	0	5	4	119	0	37	0	35	6	0	0	9	1	11	0	0	0	0	0	0	6	4	9	6	7	31	2	27	0	2	1	0	0	1	1	7	0	0	1	0	6	0	12	0	0	0	0	0	0	5	6	2	8	0	0	0	0	2	4	0	0	0	25	4	0	1	0	0	0	0	0	0	20	0	10	0	2	0	0	2	0	0	0	3	0	0	0	2	0	0	0	19	0	1	1	0	0	0	0	3	0	0	5	0	0	0	1	0	4	0	32	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
OTU_1425	1	39	0	1	0	2	1	1	1	0	4	0	1	0	0	7	2	13	2	20	3762	0	1	0	0	1	0	0	6	0	0	0	0	0	0	9	3	0	0	0	0	0	2	6	1	0	0	1	0	7	2	0	0	8	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	6	3	19	7	4	5	216	0	1	0	1	10	0	12	10	0	4	22	3	10	313	21	0	10	22	63	0	7	0	0	19	12	2	0	39	0	4	4	2	5	31	11	0	2	0	16	22	11	0	3	2	8	0	0	0	19830	0	1	0	0	0	0	12	1	9	7	1	1	0	0	3	4	0	5	14	0	1	0	0	4	0	0	0	0	12	1	13	48	3	4	6	3	7	0	0	3	4	1	0	0	2	15	9	3	5	0	0	15	7	1	2	0	5	189	1	10	0	9	0	4	0	3	1	7	1	3	3	1	12	36	70	1	4	1	4	0	0	10	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	1	6	1	0	1	0	1	3	0	3	0	29	0	0	32	0	0	10	0	0	1	0	4	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0
OTU_1371	0	0	2944	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	2	1	1	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	37	0	0	0	3	0	0	3	0	1	0	0	5	0	2	3	0	6	6	12	1	2	1	13	1	3	0	0	2	18430	0	1	1	2	4	2	0	0	0	1	0	2	0	10	2	1	71	0	3	20	3	0	1	0	0	0	0	0	0	1	0	2	5	1	8	2	5	32	2	2	0	5	1	0	7	1	17	63	0	0	1	0	12	6	1	0	3	5	1	0	16	0	0	4	0	0	3	1	0	0	1	7	0	0	0	4	0	0	0	1	30	3	1	3	0	4	0	1	1	3	0	0	0	4	0	0	0	2	3	0	1	4	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	7	0	0	3	5	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1405	1	1	3	3716	1	5	0	1	1	5	1	1	0	0	0	1	2	0	0	1	0	4	4	0	36	0	0	0	24	0	0	1	0	0	0	2	0	0	1	0	0	7	3	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	6	0	3	0	2	0	0	0	0	4	0	0	0	0	0	0	10	88	4	7	3	2	5	0	0	0	2	3	12	0	1	6	21	4	12	2	9	11	14	2	86	1	2	1	136	2	0	17	10	50	0	1	3	8	4	1	0	0	16	6	0	0	3	87	2	0	0	14	0	0	0	0	3	0	26	0	12	0	0	0	0	2	0	2	24	0	1	0	0	0	3	20987	2	0	0	0	2	0	0	0	0	0	0	0	7	3	5	2	19	6	8	0	1	0	1	5	0	6	1	1	0	1	0	1	0	5	0	0	0	1	85	1	0	1	2	0	0	0	1	0	4	0	12	0	0	0	0	0	1	2	7	0	0	0	0	2	0	4	0	0	0	0	2	1	1	0	0	0	0	0	0	31	0	0	0	2	0	2	0	0	0	0	30	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_1394	1	4	1	3	3769	1	1	36	0	0	0	0	1	0	0	1	11	5	4	0	0	2	4	23	2	1	0	1	16	32	0	1	0	6	0	2	0	27	1	2	0	5	7	39	21	1	0	37	0	0	13	0	1	2	4	0	2	0	0	0	1	0	0	0	2	0	0	0	2	0	1	0	0	0	0	183	6	7	46	3	7	1	5	0	61	30	2	7	4	1	11	1	4	59	23698	105	9	12	3	117	4	83	10	11	3	3	16	6	3	0	33	1	213	4	2	0	1	3	1	0	0	10	14	1	0	45	1	6	104	0	0	1	7	6	2	1	0	2	17	2	36	4	14	28	0	12	4	1	7	16	20	7	1	11	1	106	0	0	12	0	1	76	0	3	27	8	1	3	22	14	0	5	9	1	185	26	2	10	4	10	1	0	0	0	6	0	10	0	0	1	9	0	0	12	4	1	1	1	4	61	1	2	0	2	1	8	4	5	9	75	7	18	0	0	2	0	2	0	1	0	0	6	0	0	1	2	1	0	0	2	1	0	0	2	0	0	1	0	3	0	6	6	1	4	61	0	1	0	111	155	0	9	24	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_22	0	0	0	0	0	622	0	13	0	0	0	0	0	300	157	0	0	0	0	0	0	1	0	338	0	0	1	0	0	20	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	10	0	1	0	0	7	1	0	71	0	0	286	37	0	0	0	13	0	0	0	0	3	0	0	0	0	1	0	76	64	36	0	1	4	0	0	101	1	0	18	0	0	344	9	2	0	85	0	1	278	8	0	1828	3	0	1	0	0	0	0	0	4	0	0	10	0	2	0	0	1	3	1	29	0	1	563	2	0	0	0	8	5	2	0	0	0	0	0	0	0	7	0	1	98	215	0	0	0	0	0	0	0	1	0	28	16	38	177	0	20	66	20	326	3	0	24	3	1	2	0	0	1	927	0	1	0	0	31	0	0	0	0	1	1	4	407	0	0	3	214	0	1	2	1707	1	10	0	195	1	20	1	255	5	0	0	1270	147	0	0	894	0	0	0	381	11	3825	1	0	0	35	75	11	216	0	0	599	5	0	0	0	0	0	3	0	7	3	2	0	0	0	0	0	10176	0	0	0	2	3309	21	0	0	0	10488	0	0	0
OTU_1415	7135	2	3	1	1	0	0	1	5	0	0	0	0	1	0	5	0	0	1	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	3	2	0	5	0	0	0	0	2	0	3	1	0	3	13	0	2	0	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	6	29	57	1	2	1	2	0	23	2	0	19	1	0	2	1	36691	6	3	7	6	12	15	13	5	0	2	5	0	0	7	5	1	0	0	7	4	3	3	0	2	0	12	1	0	3	0	0	0	2	0	7	0	26	2	2	27	1	1	0	4	0	0	0	17	1	0	7	4	162	1	23	0	43	9	0	0	0	0	62	0	0	0	0	7	0	8	5	4	5	9	4	3	40	0	3	0	7	0	1	1	2	2	2	1	1	0	0	4	0	2	0	2	1	0	1	5	7	26	0	1	1	0	6	0	5	0	0	2	4	2	2	2	0	0	0	1	1	3	0	15	1	4	0	0	0	0	0	1	2	0	0	0	1	2	0	1	25	0	1	1	0	0	0	0	3	0	0	2	0	0	0	0	0	8	0	86	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0
OTU_1427	0	2	1	3	0	1	2757	0	0	0	1	2	0	0	0	0	0	1	5	0	1	0	2	0	1	0	0	0	3	0	0	1	1	5	0	0	0	0	0	0	0	0	1	2	1	1	1	1	0	18	1	0	6	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	10	6	5	15	5	5	1	1	1	0	0	8	33	2	3	11	3	6	13	3	6	16	17	2	7	4	9	0	2	0	138	10	7	3	0	4	0	2	5	0	1	70	5	0	2	1	19	0	3	0	342	35	8	0	0	0	1	33	1	1	0	0	2	1	1	2	1	36	14	0	0	1	8	0	32	13	34	2	0	0	3	0	1	0	0	1	3	45	0	3	6	1	3	50	0	0	10	0	2	6	0	0	1	16473	59	0	0	0	0	3	16	0	0	2	0	0	0	0	33	0	1	8	1	12	0	0	3	3	18	4	3	0	8	5	88	0	3	1	0	0	0	0	1	1	0	0	18	0	0	0	13	57	1	0	11	0	0	0	0	0	0	1	0	0	0	1	1	0	0	7	0	1	0	0	0	6	0	0	0	1	5	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
OTU_702	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	61	0	0	0	0	0	0	0	92	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1361	3	2	0	1	0	0	1	0	2204	0	0	0	0	0	0	5	1	1	16	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	20	17898	4	3	1	0	1	0	38	0	1	3	6	0	1	11	9	1	5	2	5	11	0	8	1	2	5	3	0	0	5	6	1	0	2	0	0	6	0	0	2	5	2	42	3	8	5	1	0	2	0	1	0	0	0	1	438	1	0	0	3	0	0	0	7	0	0	0	4	8	2	3	3	5	3	9	0	42	2	6	3	3	0	0	5	0	2	2	1	2	16	1	3	0	0	2	1	0	0	0	1	4	4	0	0	0	0	0	1	0	0	0	4	0	0	0	10	61	6	1	1	1	0	2	0	3	0	0	2	28	0	2	5	10	0	0	0	0	2	0	0	6	6	0	0	0	0	0	0	2	5	0	8	0	0	2	0	0	0	0	1	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
